"Table","IndexName","Side","SourceSignature","DestSignature"
"dbo.BenEmployeeElectionEOIStatus",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEmployeeElectionEOIStatus",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEmployeeEnrollment",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEmployeeEnrollment",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEmployeeEnrollmentStatus",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEmployeeEnrollmentStatus",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEmployeeOffering",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEmployeeOffering",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEmployeePropertyValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEmployeePropertyValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentACA",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentACA",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentElectionSet",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentElectionSet",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentElectionSetOptionGroup",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentElectionSetOptionGroup",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentNotificationMessage",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentNotificationMessage",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentPeriod",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentPeriod",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentPeriodicEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentPeriodicEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentSection",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEnrollmentSection",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenOptionParticipant",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
