"Table","Location"
"dbo.BaseCoverageAssignment","Both"
"dbo.BaseCoverageCulture","Both"
"dbo.BaseCoverageDef","Both"
"dbo.BaseCoverageDefCulture","Both"
"dbo.BaseCoverageDOW","Both"
"dbo.BaseCoverageRequirement","Both"
"dbo.BaseRateImportStage_ImportJob","Both"
"dbo.BaseRateImportStage_Level","Both"
"dbo.BaseRateImportStage_Rate","Both"
"dbo.BaseRateImportStage_RateSet","Both"
"dbo.BaseRateTransaction","Both"
"dbo.BaseRateTransactionAudit","Both"
"dbo.BaseRateTransactionSource","Both"
"dbo.BenACACalendar","Both"
"dbo.BenACACalendarCulture","Both"
"dbo.BenACACalendarCycle","Both"
"dbo.BenACAEmployeeEligibility","Both"
"dbo.BenACAEmployeeEligibilityAudit","Both"
"dbo.BenACAParam","Both"
"dbo.BenACAParamCulture","Both"
"dbo.BenACAReason","Both"
"dbo.BenACAReasonCulture","Both"
"dbo.BenACAYearEndALEMember","Both"
"dbo.BenACAYearEndCode","Both"
"dbo.BenACAYearEndCodeCulture","Both"
"dbo.BenACAYearEndDependent","Both"
"dbo.BenACAYearEndEmployee","Both"
"dbo.BenACAYearEndEmployeeAddress","Both"
"dbo.BenACAYearEndEmployeeDeliveryPackage","Both"
"dbo.BenACAYearEndEmployeeJob","Both"
"dbo.BenACAYearEndFiling","Both"
"dbo.BenACAYearEndFilingAudit","Both"
"dbo.BenACAYearEndJobLog","Both"
"dbo.BenACAYearEndLegalEntity","Both"
"dbo.BenACAYearEndLegalEntityMapping","Both"
"dbo.BenACAYearEndLegalEntityStateCount","Both"
"dbo.BenACAYearEndTag","Both"
"dbo.BenAccessAuthTFS614102_TFS775188_TFS831307_Step27350","Both"
"dbo.BenBackgroundJobLog","Both"
"dbo.BenBGTaskLog","Both"
"dbo.BenBGTaskSelect","Both"
"dbo.BenBIEmployeeElectionStats","Both"
"dbo.BenBIRateEligibility","Both"
"dbo.BenCareProvider","Both"
"dbo.BenCareProviderAudit","Both"
"dbo.BenCarrierFeedExportResult","Both"
"dbo.BenCOBRAEvent","Both"
"dbo.BenCOBRAEventAudit","Both"
"dbo.BenCOBRAEventReason","Both"
"dbo.BenCOBRAEventReasonCulture","Both"
"dbo.BenConfig","Both"
"dbo.BenCostSplittingConfig","Both"
"dbo.BenCostSplittingConfigDetail","Both"
"dbo.BenCoverageEndEvent","Both"
"dbo.BenDependentOffering","Both"
"dbo.BenDependentOfferingBelowMinValue","Both"
"dbo.BenDependentVerification","Both"
"dbo.BenDependentVerificationAudit","Both"
"dbo.BenDependentVerificationCustomContent","Both"
"dbo.BenDependentVerificationCustomContentCulture","Both"
"dbo.BenDependentVerificationEnrollmentOption","Both"
"dbo.BenDependentVerificationEnrollmentOptionAudit","Both"
"dbo.BenDiagLog","Both"
"dbo.BenDSResource","Both"
"dbo.BenDSResourceCulture","Both"
"dbo.BenefitDetail","Both"
"dbo.BenefitDetailCulture","Both"
"dbo.BenefitImport_BenefitOptions","Both"
"dbo.BenefitImport_BenEmployeePropertyValue","Both"
"dbo.BenefitImport_DependentOptions","Both"
"dbo.BenefitImport_Dependents","Both"
"dbo.BenefitImport_Employee","Both"
"dbo.BenefitImport_ImportJob","Both"
"dbo.BenefitPlan","Both"
"dbo.BenefitPlanCulture","Both"
"dbo.BenefitPlanDetail","Both"
"dbo.BenefitPlanQualifier","Both"
"dbo.BenefitPlanType","Both"
"dbo.BenefitPlanTypeCulture","Both"
"dbo.BenEligibilityConfigurationValidationToolOutput","Both"
"dbo.BenEligibilityElementValue","Both"
"dbo.BenEligibilityElementValueAudit","Both"
"dbo.BenEligibilityQualifier","Both"
"dbo.BenEligibilityQualifierAssignment","Both"
"dbo.BenEligibilityQualifierAssignmentAudit","Both"
"dbo.BenEligibilityQualifierAudit","Both"
"dbo.BenEligibilityQualifierCulture","Both"
"dbo.BenEligibilityQualifierRelationship","Both"
"dbo.BenEligibilityQualifierRelationshipAudit","Both"
"dbo.BenEligibilitySupportToolOutput","Both"
"dbo.BenEmployeeDepBenPropertyValue","Both"
"dbo.BenEmployeeDependentCoverageStatus","Both"
"dbo.BenEmployeeDependentCoverageStatusAudit","Both"
"dbo.BenEmployeeElectionEOIStatus","Both"
"dbo.BenEmployeeElectionEOIStatusCulture","Both"
"dbo.BenEmployeeEnrollment","Both"
"dbo.BenEmployeeEnrollmentStatus","Both"
"dbo.BenEmployeeEnrollmentStatusCulture","Both"
"dbo.BenEmployeeOffering","Both"
"dbo.BenEmployeeOfferingBelowMinValue","Both"
"dbo.BenEmployeeProperty","Both"
"dbo.BenEmployeePropertyCulture","Both"
"dbo.BenEmployeePropertyValue","Both"
"dbo.BenEmployeePropertyValueAudit","Both"
"dbo.BenEmployeeReenrollmentLog","Both"
"dbo.BenEnrollmentACA","Both"
"dbo.BenEnrollmentACAAudit","Both"
"dbo.BenEnrollmentACACulture","Both"
"dbo.BenEnrollmentElectionDescription","Both"
"dbo.BenEnrollmentElectionDescriptionAudit","Both"
"dbo.BenEnrollmentElectionDescriptionCulture","Both"
"dbo.BenEnrollmentElectionDetails","Both"
"dbo.BenEnrollmentElectionDetailsAudit","Both"
"dbo.BenEnrollmentElectionDetailsCulture","Both"
"dbo.BenEnrollmentElectionSet","Both"
"dbo.BenEnrollmentElectionSetAudit","Both"
"dbo.BenEnrollmentElectionSetCulture","Both"
"dbo.BenEnrollmentElectionSetGroupOptions","Both"
"dbo.BenEnrollmentElectionSetGroupOptionsAudit","Both"
"dbo.BenEnrollmentElectionSetOptionGroup","Both"
"dbo.BenEnrollmentElectionSetOptionGroupAudit","Both"
"dbo.BenEnrollmentElectionSetOptionGroupCulture","Both"
"dbo.BenEnrollmentElectionSetRestriction","Both"
"dbo.BenEnrollmentElectionSetRestrictionAudit","Both"
"dbo.BenEnrollmentEvent","Both"
"dbo.BenEnrollmentEventAudit","Both"
"dbo.BenEnrollmentEventCulture","Both"
"dbo.BenEnrollmentIncludedRestrictionEvent","Both"
"dbo.BenEnrollmentIncludedRestrictionEventAudit","Both"
"dbo.BenEnrollmentLink","Both"
"dbo.BenEnrollmentLinkAudit","Both"
"dbo.BenEnrollmentLinkCulture","Both"
"dbo.BenEnrollmentNextStep","Both"
"dbo.BenEnrollmentNextStepAudit","Both"
"dbo.BenEnrollmentNextStepCulture","Both"
"dbo.BenEnrollmentNotification","Both"
"dbo.BenEnrollmentNotificationAudit","Both"
"dbo.BenEnrollmentNotificationCulture","Both"
"dbo.BenEnrollmentNotificationMessage","Both"
"dbo.BenEnrollmentPeriod","Both"
"dbo.BenEnrollmentPeriodAudit","Both"
"dbo.BenEnrollmentPeriodCulture","Both"
"dbo.BenEnrollmentPeriodicEvent","Both"
"dbo.BenEnrollmentPeriodicEventAudit","Both"
"dbo.BenEnrollmentPeriodicEventCulture","Both"
"dbo.BenEnrollmentRestrictionEvent","Both"
"dbo.BenEnrollmentRestrictionEventAudit","Both"
"dbo.BenEnrollmentRestrictionEventCulture","Both"
"dbo.BenEnrollmentRestrictionRule","Both"
"dbo.BenEnrollmentRestrictionRuleCulture","Both"
"dbo.BenEnrollmentSection","Both"
"dbo.BenEnrollmentSectionAudit","Both"
"dbo.BenEnrollmentSectionCulture","Both"
